"","RAV4483","RAV95","RAV4489","RAV2670","RAV1301","RAV1959","RAV1302","RAV988","RAV987","RAV3033","RAV1002","RAV1125","RAV4689","RAV2673","RAV1960","RAV996","RAV4486","RAV998","RAV999","RAV1001","RAV4113"
"patient.clinical_cqcf.normal_tissue_anatomic_site",0.177970583550408,0.544335876671182,0.212036104980807,0.799537345224092,0.751882677535029,0.623926598410194,0.7614627345425,0.488745944468689,0.730503599516008,0.85729300878602,0.103523393062573,0.0808745468897264,0.8844423366705,0.107792332139118,0.13762040615592,0.128773524039875,0.333180039567946,0.00243002871331186,0.0981871262551902,0.342573076446186,0.939712014893707
"patient.clinical_cqcf.normal_tissue_proximity",0.168096894954317,0.724455757281989,0.615407132631714,0.917326941377324,0.960691813375059,0.966524814707564,0.907993319743283,0.337665764665556,0.415367380927787,0.588011547584825,0.202811425973074,0.618849882684793,0.234311656752259,0.735480064988815,0.0627103148165464,0.56589292187815,0.814100886380703,0.0273843042428829,0.0561885205958536,0.885722814577446,0.824227618527101
"patient.drugs.drug.2.bcr_drug_barcode",0.527632954403314,0.45179104034228,0.641504246210298,0.6656072319146,0.73885373758879,0.944234789936389,0.634421090083267,0.354836336571442,0.820556064990142,0.297966758195194,0.735196757493636,0.158077374327525,0.68360275402817,0.312197272291886,0.849598974846121,0.73535225583725,0.464411276228586,0.949854651974322,0.931805847958071,0.993923549307334,0.517504524206673
"patient.drugs.drug.2.bcr_drug_uuid",0.527632954403315,0.451791040342282,0.641504246210296,0.665607231914597,0.738853737588787,0.944234789936389,0.634421090083265,0.354836336571439,0.820556064990139,0.297966758195193,0.73519675749364,0.158077374327522,0.683602754028165,0.312197272291885,0.849598974846119,0.735352255837251,0.46441127622859,0.949854651974325,0.931805847958074,0.993923549307334,0.517504524206671
"patient.drugs.drug.2.drug_name",0.431050541308198,0.28461340242824,0.440842006321841,0.570239854756816,0.654125972894171,0.985349822372713,0.733684769812854,0.221254167693526,0.756051672877709,0.148432348841202,0.533270736474696,0.0882816074570133,0.551239872696698,0.179745142215154,0.904528970118243,0.58737206263707,0.288199508029787,0.840226368961768,0.880042083014691,0.999322200617471,0.427883404904894
"patient.drugs.drug.2.therapy_ongoing",0.167124900053848,0.213472926095291,0.201422895155879,0.778997569245993,0.745093976095097,0.400597619321873,0.970894719965929,0.0488077948174837,0.654930140512789,0.203546126783015,0.331215079262138,0.129891472514984,0.826656746862891,0.113461033850698,0.831623901963313,0.243600337221168,0.965107689707494,0.351560358332839,0.499796939167945,0.842403490326711,0.50982320167213
"patient.drugs.drug.2.therapy_types.therapy_type",0.371522320531508,0.313846801488963,0.299657744126774,0.588719234599168,0.675964586953374,0.642228780598761,0.384421900420521,0.0875298562670231,0.519578627229661,0.362436418275725,0.608467791916605,0.223841608507887,0.785368672058369,0.237629511184532,0.405200854554022,0.280224692252458,0.943751748089321,0.573187065662426,0.797278815737332,0.907205722829727,0.620932225185893
"patient.drugs.drug.bcr_drug_barcode",0.189294216745276,0.174352529722728,0.514663885391735,0.308032030929246,0.366614714653118,0.594223489719552,0.160587400973519,0.287127856412174,0.456748689361915,0.245732106898667,0.555003750932572,0.289497718963326,0.248063125367494,0.306161494576413,0.615550078922782,0.631459767260639,0.500409792924969,0.477195564407337,0.607570995775819,0.769961053590637,0.039571956257855
"patient.drugs.drug.bcr_drug_uuid",0.189294216745277,0.174352529722728,0.514663885391734,0.308032030929247,0.366614714653119,0.594223489719558,0.160587400973521,0.287127856412175,0.456748689361917,0.245732106898667,0.55500375093257,0.289497718963328,0.248063125367495,0.306161494576413,0.615550078922784,0.631459767260637,0.500409792924968,0.477195564407338,0.607570995775819,0.769961053590639,0.039571956257855
"patient.drugs.drug.drug_name",0.367854444996614,0.542422150143083,0.25823051240059,0.120613933044698,0.188073780717916,0.194645231350275,0.0467762007099831,0.143410361252013,0.188080141568298,0.157821600852184,0.597982529016753,0.0549597039067874,0.294085230070162,0.305570422443977,0.145788036880993,0.582030793600118,0.459005190871584,0.546661981127746,0.621742841473442,0.725067114808746,0.188819412889357
"patient.drugs.drug.measure_of_response",0.0346307683588534,0.200437797511807,0.0400878481311994,0.504444712712274,0.410696916268078,0.696380578074764,0.662089697816313,0.00457258804014183,0.648403938461101,0.209562997435902,0.242125771979114,0.0804670877420233,0.954939089024504,0.115628809398742,0.810472693135478,0.0819042329319828,0.379566628352408,0.0731316285296114,0.953613868894311,0.39506947071812,0.0386468982141728
"patient.drugs.drug.prescribed_dose_units",0.215001832956288,0.550442519314039,0.0191913780320038,0.0372735072281873,0.0515196220248199,0.00784400782049501,0.00941817227964554,0.0823751116577379,0.0800208079500989,0.0820423466345182,0.0787201103299505,0.0284961245135553,0.0440858855518873,0.355216310817529,0.0428884859114013,0.0313436814760142,0.0322872191113421,0.291026611090928,0.197112567951893,0.0957946130095013,0.95570963590351
"patient.drugs.drug.regimen_indication",0.114746357497821,0.0382228690678539,0.759061400294762,0.260850315650755,0.26276622391317,0.883323474695439,0.416848854838152,0.402266617772414,0.555167269610108,0.0709845593018383,0.327561000768334,0.633118676706451,0.283269291172312,0.38381666289746,0.719100338734335,0.655487679407736,0.546629185826727,0.539805730890273,0.801442169461329,0.961397985282064,0.0253704251125816
"patient.drugs.drug.route_of_administrations.route_of_administration",0.384769441364929,0.386030985880451,0.732143375425091,0.315982733463185,0.321577015205563,0.679853561342504,0.39369396371327,0.686453110293113,0.480038961851636,0.230237695670816,0.435859413069615,0.926900046476899,0.234411032729638,0.995894923406134,0.896801746633506,0.957244283865512,0.262078423782838,0.598896336582815,0.728009440337751,0.957381439094166,0.828717249232376
"patient.drugs.drug.therapy_ongoing",0.456956644347475,0.785918781189501,0.078421259484953,0.630573396495455,0.699165816892899,0.261077921739357,0.731102155740452,0.0190935418041989,0.125202407050424,0.71924709480461,0.86787640745623,0.139777188048265,0.200450436719365,0.360040539263355,0.776479808327724,0.121020548251491,0.6393615299049,0.268937636998591,0.722002266194683,0.449716819920409,0.440425263231872
"patient.drugs.drug.therapy_types.therapy_type",0.456956644347475,0.785918781189501,0.078421259484953,0.630573396495455,0.699165816892899,0.261077921739357,0.731102155740452,0.0190935418041989,0.125202407050424,0.71924709480461,0.86787640745623,0.139777188048265,0.200450436719365,0.360040539263355,0.776479808327724,0.121020548251491,0.6393615299049,0.268937636998591,0.722002266194683,0.449716819920409,0.440425263231872
"patient.drugs.drug.tx_on_clinical_trial",0.0369490532677751,0.23950440391013,0.0164276875501682,0.449635977830064,0.368511859069374,0.581722140702915,0.573167120017912,0.00111570271082786,0.588883338112045,0.21492927273712,0.245973199027377,0.0400651123360777,0.832679881701901,0.0779098932941259,0.627731442700004,0.0383034284356837,0.198882257728884,0.0689288615063644,0.925947851492099,0.419796929643717,0.0630182996547548
"patient.ethnicity",0.737857096571339,0.502135908006568,0.287225577493123,0.423692182662365,0.460948020908068,0.934745309806497,0.742329393563602,0.225925123041142,0.683600899592939,0.354288469339908,0.295120780977382,0.275088550367982,0.555783089726944,0.290691970798509,0.662393110646358,0.309210180020866,0.319184520474906,0.406915809130103,0.999729706525589,0.896026012286405,0.777003280148037
"patient.follow_ups.follow_up.2.bcr_followup_barcode",0.983930316761596,0.995192968680183,0.672594892509895,0.441831014690652,0.505228658489413,0.265949363977952,0.158367622367563,0.461579275398533,0.372284347969379,0.775324247718,0.994762572886147,0.343270659588383,0.736026619851258,0.809079602885742,0.174992280252594,0.371477973398715,0.341689259072277,0.99367103546138,0.84379192328075,0.441769616160705,0.953868681123349
"patient.follow_ups.follow_up.2.bcr_followup_uuid",0.983930316761596,0.995192968680183,0.672594892509888,0.441831014690654,0.505228658489417,0.265949363977954,0.158367622367565,0.461579275398522,0.372284347969383,0.775324247718,0.994762572886147,0.343270659588383,0.73602661985126,0.809079602885743,0.174992280252594,0.371477973398707,0.341689259072281,0.993671035461381,0.843791923280751,0.441769616160705,0.95386868112335
"patient.follow_ups.follow_up.2.disease_after_curative_tx",0.740500499416691,0.91700452208642,0.3238442563383,0.480199138196804,0.550322591761508,0.713869634921971,0.668461189200624,0.236696983684278,0.719409423434376,0.559776927524166,0.971359465802964,0.536007858176133,0.536120200842975,0.823106327667707,0.622056387409504,0.366348146803404,0.572219040793478,0.849519002106575,0.95468372338509,0.901486896759493,0.656846051991892
"patient.follow_ups.follow_up.2.followup_case_report_form_submission_reason",0.522506876101381,0.674091378631072,0.438522909065589,0.737965016700657,0.752389264543924,0.288055123715741,0.686415613765162,0.509014060220369,0.447486020935126,0.608627233988501,0.619837791926062,0.234030314895771,0.635475346611837,0.398074965431395,0.839134640069895,0.893194941297626,0.844443569848954,0.614546645876884,0.621596165415556,0.623739257660121,0.978776069824916
"patient.follow_ups.follow_up.2.followup_treatment_success",0.868977033277409,0.999589165588821,0.760250555120637,0.855243768495725,0.875064036416637,0.407762623309677,0.737761966239167,0.791928975100361,0.527743446796417,0.961626605552329,0.990856399875026,0.552609933862098,0.949058094712165,0.816003994656036,0.656145417797788,0.912836487886415,0.607131877324691,0.939107326745556,0.757742877723287,0.906426967682204,0.821926712164872
"patient.follow_ups.follow_up.2.lost_follow_up",0.595065544654944,0.712521420483464,0.680120925493928,0.398136831821288,0.413391783306836,0.203244599826062,0.447294885331111,0.91100930859197,0.425171447374337,0.73026212738942,0.99598130250296,0.53095707990583,0.774830970137627,0.640549034123534,0.410630819981897,0.963197283861319,0.928343070020668,0.416836975526095,0.732885018539039,0.44845867298116,0.677265465580074
"patient.follow_ups.follow_up.2.method_of_curative_tx",0.321386055766543,0.1839466585542,0.112990881402007,0.66571125181462,0.663658488401937,0.663579341647216,0.756007636731535,0.156764650675428,0.938729783400362,0.289016744959799,0.394307917016613,0.0592811014549032,0.538865066937583,0.0994845997477668,0.487692226626266,0.351211161315091,0.735529601497766,0.717532009529742,0.575751695152728,0.384810012012548,0.197127682073159
"patient.follow_ups.follow_up.2.new_tumor_events.new_tumor_event_after_initial_treatment",0.288105775381684,0.368689632117353,0.370751504036923,0.541007955652107,0.544191524525922,0.960889596876205,0.732800696884269,0.189729307942036,0.919859131520265,0.155416722181499,0.802851747759566,0.124883153322496,0.422433696942897,0.267299289094857,0.852852103380074,0.695939419988796,0.238388155024009,0.574252417636943,0.846711160880673,0.991818736569705,0.418594165475937
"patient.follow_ups.follow_up.2.person_neoplasm_cancer_status",0.494368801937005,0.916397727347096,0.285296234583059,0.632838723170074,0.637974714339404,0.145926594405848,0.622865604960404,0.357611926381295,0.197621102796015,0.789910172445466,0.994559241455296,0.147062534424228,0.701726354031944,0.440271494870986,0.657609989908372,0.601261317073276,0.250678140915906,0.544503186336041,0.781207154791059,0.637851214347636,0.83766671241946
"patient.follow_ups.follow_up.2.primary_therapy_outcome_success",0.594178790399206,0.508188164246672,0.688186169501353,0.747314495103073,0.740356304591405,0.430418621875171,0.944382330673603,0.923647426313555,0.388670028332453,0.541713016856353,0.699320348117392,0.751967009336119,0.564746249875163,0.97645031142479,0.857956540270265,0.784157177529458,0.370997372419463,0.699888729258273,0.722702975782791,0.942793427082278,0.821596465841348
"patient.follow_ups.follow_up.2.radiation_therapy",0.191015779519487,0.552885621440983,0.379018530826408,0.469354525579503,0.390706634533585,0.452164978202986,0.535174366824708,0.35050375302623,0.350190778485359,0.489318280730618,0.981506592470217,0.284468649273963,0.816888543292683,0.247842687341979,0.814463022838098,0.468912033504587,0.372739364578306,0.167772884659757,0.554187734227908,0.874661406343067,0.546890750121028
"patient.follow_ups.follow_up.2.smokeless_tobacco_use_at_diag",0.655350166110205,0.771117138863856,0.45741489518964,0.545929427158881,0.602501129717044,0.943248424361368,0.557189556008981,0.239948349564043,0.900374513512593,0.506842893766003,0.915267267739741,0.70048339209227,0.746890489762758,0.860179155706324,0.797450283624723,0.579052841124856,0.707992140882708,0.815168247062578,0.954030016333846,0.999927057487666,0.543879139631405
"patient.follow_ups.follow_up.2.smokeless_tobacco_use_regularly",0.722192410528832,0.729088333318878,0.325727823396036,0.685412316147642,0.74792932166487,0.942681315835307,0.716816891909617,0.27842238833277,0.934940960727333,0.56037019167755,0.921761624039022,0.456627928611459,0.896023392512507,0.605547792498538,0.763382683254579,0.489814975012211,0.617421651847925,0.805431153400913,0.993269049101904,0.961481738659039,0.5537309455681
"patient.follow_ups.follow_up.2.targeted_molecular_therapy",0.542675315989632,0.668253983474556,0.546208046402965,0.864651107093035,0.870508750007703,0.537964357835237,0.878281533645037,0.581001828564635,0.569756301438687,0.890701565582256,0.991478744823058,0.678570728546166,0.838215261099926,0.876456395939702,0.861113762564587,0.757139790678631,0.925385745108862,0.342178582363228,0.841688215711723,0.681423684145677,0.47262572424189
"patient.follow_ups.follow_up.2.vital_status",0.70689297678718,0.512484493888454,0.540079143349232,0.563655993586004,0.559199232665562,0.229354197261252,0.535207896938792,0.895870778315081,0.25338834605243,0.608162679663046,0.953116220227574,0.522807453058397,0.769006959886763,0.858560003163211,0.854501985505143,0.831226160225158,0.579328832724502,0.516288655877885,0.697906439010766,0.674683724456482,0.997904201342335
"patient.follow_ups.follow_up.bcr_followup_barcode",0.669131909106343,0.599994484180302,0.0302459227786334,0.53662982610899,0.629025084406247,0.194409943401291,0.321612631588516,0.181965351953705,0.308363049111721,0.563507276568796,0.99934028403044,0.194963161596599,0.523553452423384,0.60157494080636,0.278031654889068,0.0772348382129839,0.371464335437926,0.920427660717007,0.999944924605516,0.977969097289288,0.97127938713386
"patient.follow_ups.follow_up.bcr_followup_uuid",0.669131909106343,0.599994484180301,0.0302459227786334,0.536629826108992,0.629025084406246,0.194409943401293,0.321612631588517,0.181965351953706,0.30836304911172,0.563507276568797,0.99934028403044,0.1949631615966,0.523553452423385,0.601574940806361,0.278031654889068,0.0772348382129842,0.371464335437929,0.920427660717008,0.999944924605516,0.977969097289288,0.97127938713386
"patient.follow_ups.follow_up.disease_after_curative_tx",0.00419660428344666,0.0303672065671395,0.237123236720996,0.198606954175802,0.128418352190767,0.650688371601742,0.448482419933916,0.0111494457032866,0.893760348367647,0.0319182635175422,0.46332818598074,0.153730088732079,0.966785943411598,0.0694597884157873,0.855726597149076,0.205977248691674,0.388826887782912,0.0303422977850662,0.892460359025921,0.840550458136342,0.0619533694854773
"patient.follow_ups.follow_up.followup_case_report_form_submission_reason",0.0426457955650552,0.0421774748162071,0.705089243069239,0.0406797648227291,0.0317153687355074,0.042682117625365,0.0939098988502902,0.398885183520863,0.0603228660662609,0.0210031915607011,0.947977653945781,0.70417150740332,0.144864030433412,0.645447713053114,0.34773481016785,0.8393326482476,0.768940607175591,0.534499632402305,0.905226041990466,0.381161351859996,0.189593693050031
"patient.follow_ups.follow_up.followup_treatment_success",0.23408798673556,0.823739135229222,0.321814436634253,0.694424926363298,0.649298008129675,0.401174682964818,0.657400997070743,0.156492984928835,0.621209708036832,0.881028468240197,0.997092413525684,0.247194055420243,0.886324647800148,0.753086707866714,0.201404846886184,0.227718702726032,0.167079237794116,0.0809176118157021,0.476119781355586,0.991837734626486,0.968424159446021
"patient.follow_ups.follow_up.lost_follow_up",0.119673002896218,0.252185272508835,0.0605343808203427,0.00295139781320481,0.00228404789936622,0.0719664084989996,0.0101014118784744,0.000534968060532919,0.0903235663468521,0.00476565699580176,0.637878406867995,0.161300497119104,0.190008912685992,0.158261174168598,0.0819449891040095,0.00792274505286906,0.0535483549807172,0.0669378843861512,0.262042823305507,0.37517996659715,0.0921368110037313
"patient.follow_ups.follow_up.method_of_curative_tx",0.0195136785670086,0.158828488315411,0.146212685790527,0.354457645062811,0.290653849613444,0.33832665333727,0.393073677882305,0.0122453165413646,0.555821129425394,0.129121921824394,0.520595205027566,0.0336713843952813,0.945790300930792,0.0569253317837506,0.444496655875334,0.286075189890352,0.326222396794818,0.0813734301863438,0.867149159919102,0.808253980360587,0.0687305864497266
"patient.follow_ups.follow_up.new_tumor_event_after_initial_treatment",0.34125823950429,0.127864958476095,0.819111898794017,0.00260401503176428,0.0017424202298564,0.018225830074528,0.0120215944803189,0.0199500142250239,0.0166420066233873,0.000694054575825228,0.591969073897971,0.714640763192681,0.0208383564034271,0.378329943938157,0.792459346292153,0.203738715479829,0.204030862476717,0.201851251257105,0.163312544405401,0.208407543156953,0.0655889611785583
"patient.follow_ups.follow_up.new_tumor_events.new_tumor_event.new_neoplasm_event_type",0.0785147831580041,0.0997279479662368,0.0584588297175206,0.195650155608926,0.172058410096141,0.754505007885904,0.581338693937005,0.029113752663163,0.606817819264039,0.0634461535599757,0.512513267219552,0.0211836723023586,0.548910077005526,0.027342969205403,0.529684071611525,0.173948069751028,0.107248768367266,0.0957170276449742,0.983059221239264,0.66996981154094,0.0965939057391176
"patient.follow_ups.follow_up.new_tumor_events.new_tumor_event_after_initial_treatment",0.00391335729252695,0.00168693587051472,0.0196424446754645,0.000156025619356484,8.17540630424857e-05,0.00122895100079091,0.00285220752277313,0.0030152275532789,0.00555945561322963,1.48661130309142e-05,0.411392068730951,0.0203130758812333,0.0185128215635304,0.0107625188794451,0.439878898016873,0.0654916154050772,0.151114151181579,0.0149395129182662,0.63358775799113,0.0482952952881794,0.0315410297634327
"patient.follow_ups.follow_up.person_neoplasm_cancer_status",0.431979461105278,0.371517713007554,0.313374669451411,0.831618391661911,0.798798949583263,0.366242106540096,0.819145085534325,0.776170777078369,0.593513919365501,0.654288019016828,0.257840935786359,0.236580646605802,0.881314943839114,0.807026639563318,0.56371146111121,0.567119707343782,0.114815568525327,0.397684654760807,0.424089946037685,0.675059979778873,0.993776711157297
"patient.follow_ups.follow_up.primary_therapy_outcome_success",0.71535270079343,0.883514461672143,0.571249313270221,0.859471131762968,0.836102272459584,0.405047860859684,0.591669973356899,0.877222885343239,0.881303652898004,0.798743982789206,0.143929170007483,0.493139783484667,0.582258615394571,0.607191073476979,0.176830034870538,0.674022879606182,0.247229717458743,0.863976326582105,0.669002854119066,0.49173403375977,0.771138957746403
"patient.follow_ups.follow_up.radiation_therapy",0.029689183229341,0.634047437653697,0.0166356364361793,0.16769242118407,0.194580970082225,0.00258197604941012,0.0884300715820356,0.127250399699415,0.0446656622073174,0.486517016700392,0.183840848995569,0.00449885609326162,0.969806854040982,0.167846455455884,0.00736719496171723,0.17431391243417,0.0595160225443094,0.124546905753922,0.271556874643619,0.0463136449464612,0.366256497248879
"patient.follow_ups.follow_up.smokeless_tobacco_use_at_diag",0.206680752165321,0.270794012779556,0.996672739438132,0.211162848118302,0.168569316409375,0.316898893079517,0.372089791335512,0.276960751181875,0.540576902402778,0.0809877094452727,0.857787469191194,0.971819483105923,0.607641445297401,0.951175280766307,0.796918594913281,0.904693933690332,0.998867842475627,0.689267043228001,0.839610212975954,0.62311772611418,0.424280947515188
"patient.follow_ups.follow_up.smokeless_tobacco_use_regularly",0.207762379573909,0.0973202931601947,0.814411065338103,0.312845565151243,0.270649387395128,0.678886698504414,0.604155903294702,0.237785818994349,0.655615741266748,0.110339494136734,0.363649468227145,0.533347982252303,0.644206631810582,0.545029782406653,0.614930370598467,0.720297102264853,0.866881065948465,0.632608439388217,0.397460288188668,0.826669017977236,0.33383948786487
"patient.follow_ups.follow_up.targeted_molecular_therapy",0.73207094404636,0.947153595179645,0.127226660771094,0.362549621625208,0.379171665286603,0.0537060697212545,0.222552977740042,0.35650885830087,0.241149727678607,0.549921424364874,0.0859257047196479,0.212862381774053,0.430300726087161,0.555157257086427,0.0441400752549645,0.261162406461856,0.343355566188799,0.588425834982661,0.239942359196195,0.110678427977265,0.5692179313961
"patient.follow_ups.follow_up.vital_status",0.113071184925219,0.539118150968724,0.301929176703021,0.974085767420075,0.990158215388499,0.507674808114471,0.988660377482361,0.262585062195568,0.705130615000076,0.910221162296798,0.0802856204618842,0.417306812813456,0.992007378017702,0.446072276510319,0.627241703772099,0.4318603076647,0.689375377696678,0.180963279912,0.35416485717713,0.74610793547698,0.419681039808517
"patient.gender",0.212887116424916,0.911183037509632,0.0122515400143903,0.138704286264876,0.139838225064306,0.00158582442009755,0.0235228976387341,0.211646825975276,0.0158522602942955,0.580923280550949,0.142863801601352,0.0149835408785597,0.342233763567919,0.134700146709378,0.0448178694978493,0.0398886308724871,0.277176796657398,0.257897527660392,0.248557729265398,0.00155476409912785,0.831154946883708
"patient.histological_type",0.0124541242662871,0.0816222595994183,0.018865216547467,0.350279962541975,0.290287923939722,0.439849725719645,0.67599108048147,0.0444161293186136,0.634777517853893,0.111263337951035,0.200042819122816,0.00420868416421149,0.247999215063339,0.0325852652811859,0.146320748244225,0.135704070757102,0.0184739578303674,0.0214702620764504,0.7205014545703,0.782237621008932,0.0620132806390669
"patient.hpv_status_by_ish_testing",0.186121719989024,0.547953614201369,0.264469246209863,0.57534612414686,0.589586555889771,0.313757721614314,0.776301268146109,0.146528641898456,0.29430145866182,0.529875507128573,0.503730141199064,0.397801963354243,0.554934634139537,0.440744415634057,0.829212490457586,0.212612890364662,0.980873258573744,0.941900034101358,0.657379433322664,0.534249194145613,0.29923542271587
